"Live, Air, No Oil: Time (min)","Live, Air, No Oil: CO2 (ppm)","Dead Yeast No Air: Time (min)","Dead Yeast No Air: CO2 (ppm)","Dead Yeast With Air: Time (min)","Dead Yeast With Air: CO2 (ppm)","Live, No Air, Oil : Time (min)","Live, No Air, Oil : CO2 (ppm)"
0,541.031746032,0,701.074481074,0,691.138583639,0,582.148962149
0.25,547.686202686,0.25,697.976190476,0.25,701.196581197,0.25,576.043956044
0.5,559.942002442,0.5,704.752747253,0.5,689.078144078,0.5,572.35042735
0.75,569.542124542,0.75,706.446886447,0.75,701.578144078,0.75,572.335164835
1,572.289377289,1,708.537851038,1,705.668498168,1,570.030525031
1.25,577.615995116,1.25,709.667277167,1.25,713.574481074,1.25,572.213064713
1.5,586.086691087,1.5,709.85042735,1.5,716.062271062,1.5,577.203907204
1.75,589.810744811,1.75,711.193528694,1.75,711.910866911,1.75,580.699023199
2,602.677045177,2,711.025641026,2,709.148351648,2,580.866910867
2.25,607.286324786,2.25,709.713064713,2.25,713.87973138,2.25,582.057387057
2.5,612.017704518,2.5,710.949328449,2.5,724.487179487,2.5,580.637973138
2.75,615.757020757,2.75,708.553113553,2.75,716.016483516,2.75,579.340659341
3,624.563492063,3,709.789377289,3,721.297313797,3,581.248473748
3.25,636.895604396,3.25,718.580586081,3.25,721.892551893,3.25,583.65995116
3.5,643.885836386,3.5,713.376068376,3.5,724.502442002,3.5,589.917582418
3.75,651.898656899,3.75,710.796703297,3.75,728.623321123,3.75,589.917582418
4,659.896214896,4,711.407203907,4,724.563492063,4,589.337606838
